,Name,Symbol,CIK
92,Toronto Dominion Bank,TD,947263
93,Starbucks,SBUX,829224
94,Citigroup,C,831001
95,Allianz,ALV.DE,1127508
96,Regeneron Pharmaceuticals,REGN,872589
97,Automatic Data Processing,ADP,8670
98,Lockheed Martin,LMT,936468
99,Deere & Company,DE,315189
100,Bristol-Myers Squibb,BMY,14272
101,BP,BP,313807
102,Cigna,CI,1739940
103,Marsh & McLennan Companies,MMC,62709
104,China Life Insurance,601628.SS,1268896
105,CVS Health,CVS,64803
106,Mondelez,MDLZ,1103982
107,Air Liquide,AI.PA,1575915
108,Boston Scientific,BSX,885725
109,Ping An Insurance,601318.SS,1693007
110,Analog Devices,ADI,6281
111,EssilorLuxottica,EL.PA,
112,CSL,CSL.AX,1415376
113,KLA,KLAC,319201
114,Gilead Sciences,GILD,882095
115,Fiserv,FI,844806
116,Micron Technology,MU,723125
117,American Tower,AMT,1053507
118,ICICI Bank,IBN,1103838
119,Fast Retailing,9983.T,1446595
120,GlaxoSmithKline,GSK,1131399
121,Infosys,INFY,1067491
122,Synopsys,SNPS,883241
123,Mitsubishi Corporation,8058.T,877197
124,ABB,ABBN.SW,1.41E+13
125,Canadian National Railway,CNI,16868
126,CNOOC,0883.HK,2.01E+13
127,HCA Healthcare,HCA,860730
128,Shin-Etsu Chemical,4063.T,1442651
129,Diageo,DEO,835403
130,SoftBank,9984.T,862475
131,State Bank of India,SBIN.NS,1036627
132,Waste Management,WM,823768
133,RELX,RELX,929869
134,Equinix,EQIX,1101239
135,Canadian Pacific Railway,CP,16875
136,Bharti Airtel,BHARTIARTL.NS,1622449
137,Porsche,P911.DE,1163165
138,Sherwin-Williams,SHW,89800
139,Cadence Design Systems,CDNS,813672
140,CME Group,CME,1156375
141,Atlas Copco,ATCO-B.ST,799984
142,SK Hynix,000660.KS,
143,Illinois Tool Works,ITW,49826
144,Hitachi,6501.T,931653
145,AXA,CS.PA,1358940
146,BMW,BMW.DE,1126530
147,General Dynamics,GD,40533
148,Investor AB,INVE-B.ST,1211894
149,Zurich Insurance Group,ZURN.SW,1127799
150,Enbridge,ENB,895728
151,Merck KGaA,MRK.DE,1004059
152,Iberdrola,IBE.MC,1424184
153,Southern Company,SO,92122
154,CSX Corporation,CSX,277948
155,BYD,002594.SZ,1585717
156,Vinci,DG.PA,842695
157,Altria Group,MO,764180
158,NetEase,NTES,1110646
159,Sumitomo Mitsui Financial Group,SMFG,1022837
160,Walmex,WMMVF,
161,Marriott International,MAR,1048286
162,Volkswagen,VOW3.DE,1264967
163,Becton Dickinson,BDX,10795
164,Schlumberger,SLB,87347
165,Nintendo,7974.T,1397279
166,Target,TGT,27419
167,Colgate-Palmolive,CL,21665
168,Bank of Montreal,BMO,927971
169,Itaú Unibanco,ITUB,1132597
170,Moody's,MCO,1059556
171,Northrop Grumman,NOC,1133421
172,National Australia Bank,NAB.AX,833029
173,BNP Paribas,BNP.PA,2010597
174,McKesson,MCK,927653
175,Parker-Hannifin,PH,76334
176,EOG Resources,EOG,821189
177,DBS Group,D05.SI,882617
178,Enel,ENEL.MI,2.02E+13
179,Chugai Pharmaceutical,4519.T,1177280
180,Southern Copper,SCCO,1001838
181,U.S. Bancorp,USB,36104
182,Recruit,6098.T,1853893
183,KDDI,9433.T,1106215
184,PayPal,PYPL,1633917
185,Amphenol,APH,820313
186,Santander,SAN,891478
187,Dassault Systèmes,DSY.PA,877197
188,Daiichi Sankyō,4568.T,1446393
189,Cintas,CTAS,723254
190,O'Reilly Automotive,ORLY,898173
191,Aon,AON,315293
192,Trane Technologies,TT,1466258
193,Ecolab,ECL,31462
194,London Stock Exchange,LSEG.L,1657036
195,Emerson,EMR,32604
196,Dell,DELL,1571996
197,FedEx,FDX,1048911
198,PNC Financial Services,PNC,713676
199,Enterprise Products,EPD,1061219
200,Tokio Marine,8766.T,98561
201,Vale,VALE,917851
202,Roper Technologies,ROP,882835
203,Oriental Land,4661.T,1545460
204,Scotiabank,BNS,9631
205,Marvell Technology Group,MRVL,1835632
